Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error
2	MC-02	30	m	MC	filler	pink	115	pumpkin_pink.png	1319	0
2	MC-02	30	m	MC	filler	white	104	violin_white.png	1633	0
2	MC-02	30	m	MC	control	blue	74	rain_blue.png	1989	0
2	MC-02	30	m	MC	control	red	60	balloon_red.png	1694	0
2	MC-02	30	m	MC	control	yellow	84	music_yellow.png	1185	0
2	MC-02	30	m	MC	control	white	55	bag_white.png	2412	0
2	MC-02	30	m	MC	control	pink	79	bridge_pink.png	2264	0
2	MC-02	30	m	MC	critical	red	14	church_red.png	1189	0
2	MC-02	30	m	MC	control	yellow	85	rollerskate_yellow.png	1642	0
2	MC-02	30	m	MC	control	white	58	broom_white.png	1459	0
2	MC-02	30	m	MC	critical	green	46	pillow_green.png	1700	0
2	MC-02	30	m	MC	filler	pink	111	glass_pink.png	2786	0
2	MC-02	30	m	MC	control	red	59	fish_red.png	1908	0
2	MC-02	30	m	MC	control	white	57	road_white.png	3353	0
2	MC-02	30	m	MC	critical	green	49	egg_green.png	2533	0
2	MC-02	30	m	MC	control	yellow	89	bat_yellow.png	2186	0
2	MC-02	30	m	MC	critical	red	17	shovel_red.png	1121	0
2	MC-02	30	m	MC	filler	blue	110	panda_blue.png	3520	0
2	MC-02	30	m	MC	control	white	53	bird_white.png	1268	0
2	MC-02	30	m	MC	control	green	95	belt_green.png	2257	0
2	MC-02	30	m	MC	filler	blue	109	pumpkin_blue.png	1533	0
2	MC-02	30	m	MC	control	red	66	star_red.png	1113	0
2	MC-02	30	m	MC	critical	yellow	38	pillar_yellow.png	2123	0
2	MC-02	30	m	MC	control	green	98	bug_green.png	2574	0
2	MC-02	30	m	MC	critical	pink	29	cheese_pink.png	2573	0
2	MC-02	30	m	MC	control	blue	73	egg_blue.png	2458	0
2	MC-02	30	m	MC	control	red	62	baby_red.png	1379	0
2	MC-02	30	m	MC	critical	white	2	bathrobe_white.png	1165	0
2	MC-02	30	m	MC	control	yellow	82	bandaid_yellow.png	1370	0
2	MC-02	30	m	MC	critical	pink	28	curtains_pink.png	1138	0
2	MC-02	30	m	MC	control	green	100	snail_green.png	1998	0
2	MC-02	30	m	MC	critical	white	8	bomb_white.png	1439	0
2	MC-02	30	m	MC	filler	blue	105	glass_blue.png	1001	0
2	MC-02	30	m	MC	filler	pink	112	letter_pink.png	2032	0
2	MC-02	30	m	MC	critical	yellow	37	stove_yellow.png	1846	1
2	MC-02	30	m	MC	control	red	64	mop_red.png	2509	0
2	MC-02	30	m	MC	control	green	99	squirrel_green.png	2366	0
2	MC-02	30	m	MC	control	white	54	magnet_white.png	1733	0
2	MC-02	30	m	MC	critical	blue	25	music_blue.png	1786	0
