"Nummer" "Liste" "SubjID" "Age" "Gender" "Versuchsleiter" "category" "color" "id" "item" "Voicekey" "Error"
"1" 4 "SM03" 19 "w" "SM" "filler" "pink" "violin_pink.png" 3237
"2" 4 "SM03" 19 "w" "SM" "filler" "green" 119 "policeman_green.png" 925 1
"3" 4 "SM03" 19 "w" "SM" "critical" "white" 2 "bathrobe_white.png" 1128 1
"4" 4 "SM03" 19 "w" "SM" "critical" "green" 45 "bat_green.png" 2531 1
"5" 4 "SM03" 19 "w" "SM" "critical" "blue" 20 "hinge_blue.png" 1726 1
"6" 4 "SM03" 19 "w" "SM" "filler" "pink" 117 "leaf_pink.png" 1322 1
"7" 4 "SM03" 19 "w" "SM" "critical" "red" 16 "bucket_red.png" -1 1
"8" 4 "SM03" 19 "w" "SM" "control" "green" 99 "squirrel_green.png" 2783 1
"9" 4 "SM03" 19 "w" "SM" "control" "white" 51 "monkey_white.png" 1081 1
"10" 4 "SM03" 19 "w" "SM" "control" "blue" 69 "bone_blue.png" 797 1
"11" 4 "SM03" 19 "w" "SM" "control" "yellow" 83 "bomb_yellow.png" 2840 1
"12" 4 "SM03" 19 "w" "SM" "filler" "green" 120 "panda_green.png" 2010 1
"13" 4 "SM03" 19 "w" "SM" "control" "white" 56 "beard_white.png" 1354 1
"14" 4 "SM03" 19 "w" "SM" "critical" "pink" 28 "curtains_pink.png" 1702 0
"15" 4 "SM03" 19 "w" "SM" "control" "yellow" 86 "hinge_yellow.png" 2418 1
"16" 4 "SM03" 19 "w" "SM" "control" "red" 67 "bathrobe_red.png" 1890 1
"17" 4 "SM03" 19 "w" "SM" "critical" "white" 5 "crib_white.png" 1271 1
"18" 4 "SM03" 19 "w" "SM" "critical" "blue" 21 "ladder_blue.png" 1419 1
"19" 4 "SM03" 19 "w" "SM" "critical" "yellow" 38 "pillar_yellow.png" -1 1
"20" 4 "SM03" 19 "w" "SM" "control" "red" 62 "baby_red.png" 2076 1
"21" 4 "SM03" 19 "w" "SM" "control" "pink" 81 "tiger_pink.png" 1222 1
"22" 4 "SM03" 19 "w" "SM" "critical" "green" 49 "egg_green.png" 1663 0
"23" 4 "SM03" 19 "w" "SM" "control" "yellow" 82 "bandaid_yellow.png" -1 1
"24" 4 "SM03" 19 "w" "SM" "control" "white" 52 "helmet_white.png" 1351 1
"25" 4 "SM03" 19 "w" "SM" "critical" "blue" 24 "microscope_blue.png" -1 1
"26" 4 "SM03" 19 "w" "SM" "control" "red" 59 "fish_red.png" 2964 1
"27" 4 "SM03" 19 "w" "SM" "control" "yellow" 90 "microphone_yellow.png" 2876 1
