Liste	SubjID	Age	Gender	Versuchsleiter	category	color	id	item	Voicekey	Error 
4	Jul 04	26	w	Jul	filler	red	118	violin_pink.png	1624	0
4	Jul 04	26	w	Jul	filler	green	119	policeman_green.png	-1	0
4	Jul 04	26	w	Jul	critical	white	2	bathrobe_white.png	1483	0
4	Jul 04	26	w	Jul	critical	green	45	bat_green.png	-1	1
4	Jul 04	26	w	Jul	critical	blue	20	hinge_blue.png	2432	0
4	Jul 04	26	w	Jul	filler	pink	117	leaf_pink.png	-1	0
4	Jul 04	26	w	Jul	critical	red	16	bucket_red.png	-1	0
4	Jul 04	26	w	Jul	control	green	99	squirrel_green.png	-1	0
4	Jul 04	26	w	Jul	control	white	51	monkey_white.png	-1	0
4	Jul 04	26	w	Jul	control	blue	69	bone_blue.png	-1	0
4	Jul 04	26	w	Jul	control	yellow	83	bomb_yellow.png	-1	0
4	Jul 04	26	w	Jul	filler	green	120	panda_green.png	-1	0
4	Jul 04	26	w	Jul	control	white	56	beard_white.png	-1	0
4	Jul 04	26	w	Jul	critical	pink	28	curtains_pink.png	-1	0
4	Jul 04	26	w	Jul	control	yellow	86	hinge_yellow.png	-1	0
4	Jul 04	26	w	Jul	control	red	67	bathrobe_red.png	-1	0
4	Jul 04	26	w	Jul	critical	white	5	crib_white.png	1588	0
4	Jul 04	26	w	Jul	critical	blue	21	ladder_blue.png	-1	0
4	Jul 04	26	w	Jul	critical	yellow	38	pillar_yellow.png	-1	0
4	Jul 04	26	w	Jul	control	red	62	baby_red.png	1131	0
4	Jul 04	26	w	Jul	control	pink	81	tiger_pink.png	-1	0
4	Jul 04	26	w	Jul	critical	green	49	egg_green.png	-1	0
4	Jul 04	26	w	Jul	control	yellow	82	bandaid_yellow.png	2835	0
4	Jul 04	26	w	Jul	control	white	52	helmet_white.png	-1	0
4	Jul 04	26	w	Jul	critical	blue	24	microscope_blue.png	-1	0
4	Jul 04	26	w	Jul	control	red	59	fish_red.png	-1	0
4	Jul 04	26	w	Jul	control	yellow	90	microphone_yellow.png	-1	0
4	Jul 04	26	w	Jul	critical	white	3	balloon_white.png	-1	0
4	Jul 04	26	w	Jul	filler	pink	116	square_pink.png	-1	0
4	Jul 04	26	w	Jul	control	red	66	star_red.png	-1	0
4	Jul 04	26	w	Jul	control	yellow	87	ladder_yellow.png	-1	0
4	Jul 04	26	w	Jul	control	blue	74	rain_blue.png	-1	0
4	Jul 04	26	w	Jul	filler	pink	111	glass_pink.png	-1	0
4	Jul 04	26	w	Jul	critical	red	9	castle_red.png	-1	0
4	Jul 04	26	w	Jul	critical	yellow	32	clock_yellow.png	-1	0
4	Jul 04	26	w	Jul	critical	blue	25	music_blue.png	-1	0
4	Jul 04	26	w	Jul	critical	pink	31	mailbox_pink.png	-1	0
4	Jul 04	26	w	Jul	control	green	97	stove_green.png	-1	0
4	Jul 04	26	w	Jul	critical	red	18	bird_red.png	841	0
